trip_id,payment_method,base_fare_amount,surge_amount,tax_amount,tip_amount,discount_amount,driver_payout_amount
1,Card,35.37,1.77,2.97,0.00,0.00,27.13
2,Cash,30.28,4.54,2.79,1.88,0.00,25.75
3,Cash,17.59,0.00,1.41,1.90,0.00,13.37
4,Card,40.58,0.00,3.25,5.26,2.00,30.72
5,Card,57.50,11.50,5.52,0.00,0.00,47.14
6,Card,14.54,0.00,1.16,1.26,0.00,10.33
7,Card,23.95,4.79,2.30,4.66,0.00,21.33
8,Card,74.78,3.74,6.28,6.78,0.00,66.14
9,Card,87.14,17.43,8.37,9.04,0.00,86.10
10,Corporate,43.10,4.31,3.79,2.56,0.00,30.33
11,Cash,16.56,0.00,1.32,1.79,0.00,12.84
12,Card,20.11,0.00,1.61,0.00,1.00,13.79
13,Card,31.58,0.00,2.53,5.12,0.00,23.53
14,Card,80.46,12.07,7.40,7.99,0.00,71.15
15,Card,8.10,1.22,0.75,1.51,2.50,7.48
16,Card,38.10,0.00,3.05,3.29,0.00,28.73
17,Card,12.66,0.00,1.01,0.00,0.00,7.71
18,Cash,49.25,2.46,4.14,2.79,0.00,39.22
19,Card,27.27,0.00,2.18,2.36,0.00,20.39
20,Card,24.57,4.91,2.36,0.00,0.00,15.65
21,Card,37.18,0.00,2.97,0.00,2.50,25.39
22,Corporate,43.16,0.00,3.45,2.33,0.00,31.07
23,Wallet,45.16,6.77,4.15,3.36,0.00,34.48
24,Card,40.87,8.17,3.92,0.00,0.00,29.61
25,Card,32.25,6.45,3.10,6.27,0.00,30.78
26,Card,7.45,0.00,0.60,1.45,1.50,5.57
27,Wallet,53.72,2.69,4.51,6.09,0.00,46.67
28,Card,72.26,25.29,7.80,0.00,0.00,68.38
29,Card,29.29,0.00,2.34,5.69,0.00,23.15
30,Card,7.11,0.00,0.57,1.38,2.50,5.51
31,Cash,8.90,0.89,0.78,0.00,0.00,6.06
32,Wallet,57.12,0.00,4.57,7.40,0.00,43.08
33,Card,9.82,0.00,0.79,1.91,1.50,6.93
34,Corporate,24.83,2.48,2.18,1.47,0.00,17.28
35,Card,57.40,14.35,5.74,0.00,0.00,51.12
36,Cash,15.09,0.00,1.21,0.00,0.00,8.34
37,Wallet,35.58,3.56,3.13,0.00,0.00,24.85
38,Card,19.37,0.00,1.55,1.67,0.00,12.22
39,Card,6.48,0.00,0.52,1.26,0.00,4.62
40,Card,80.47,4.02,6.76,10.95,0.00,68.91
41,Wallet,24.25,4.85,2.33,3.77,0.00,22.44
42,Card,24.48,0.00,1.96,3.17,0.00,18.64
43,Wallet,10.23,2.05,0.98,1.59,0.00,9.01
44,Corporate,33.40,0.00,2.67,1.80,0.00,23.59
45,Card,42.58,0.00,3.41,8.28,0.00,33.18
46,Card,6.49,0.65,0.57,1.16,1.00,5.46
47,Card,40.11,0.00,3.21,3.47,0.00,30.28
48,Corporate,37.90,5.69,3.49,2.35,0.00,30.36
49,Cash,14.53,0.00,1.16,0.78,0.00,9.54
50,Card,17.10,2.57,1.57,1.70,1.50,12.87
51,Cash,34.99,0.00,2.80,1.89,0.00,24.35
52,Card,73.62,0.00,5.89,11.93,0.00,60.18
53,Card,19.64,0.00,1.57,3.18,0.00,15.85
54,Card,50.06,5.01,4.41,4.76,0.00,39.62
55,Wallet,23.98,4.80,2.30,1.86,0.00,18.43
56,Wallet,25.46,0.00,2.04,3.30,1.50,18.36
57,Card,29.71,2.97,2.61,6.35,0.00,26.72
58,Corporate,37.60,0.00,3.01,0.00,0.00,23.44
59,Wallet,12.86,1.29,1.13,1.83,2.50,9.70
60,Wallet,32.74,0.00,2.62,4.24,0.00,24.51
