trip_id,service_type,pickup_location_id,dropoff_location_id,trip_distance_miles,request_to_pickup_mins,ride_duration_mins,driver_arrival_to_pickup_mins
1,Premium,1,9,5.54,4,24,1
2,Premium,18,14,5.14,11,17,1
3,Standard,12,20,4.44,2,19,1
4,Standard,10,3,12.12,3,43,2
5,Premium,8,6,9.13,6,44,6
6,Standard,19,11,3.76,9,14,6
7,Standard,5,17,7.42,14,21,1
8,Premium,1,4,12.75,10,55,6
9,Premium,6,17,16.56,12,56,6
10,Standard,1,4,13.08,14,45,1
11,Standard,18,6,4.45,11,16,2
12,Standard,8,3,5.40,11,21,5
13,Standard,5,19,8.49,5,37,4
14,Premium,2,13,13.52,14,61,2
15,Standard,18,4,1.66,10,7,1
16,XL,15,10,7.04,13,34,5
17,Shared,2,19,4.71,10,15,5
18,Premium,20,3,8.42,11,33,3
19,Standard,3,1,6.96,11,33,1
20,Shared,10,20,8.87,14,36,1
21,Standard,20,7,10.33,5,43,3
22,XL,6,15,8.81,8,35,1
23,Standard,12,2,12.69,5,53,1
24,Standard,6,11,11.17,8,49,6
25,Standard,8,1,9.58,8,33,1
26,Standard,19,9,1.50,11,6,6
27,Premium,7,12,8.62,12,40,5
28,Premium,7,14,12.47,8,52,2
29,Standard,15,7,7.65,14,35,6
30,Standard,7,5,1.32,5,6,5
31,Shared,4,14,2.59,14,12,5
32,XL,15,20,12.45,10,45,5
33,Shared,16,8,3.05,3,13,1
34,Standard,18,15,6.41,5,29,4
35,XL,14,18,11.52,10,51,2
36,Shared,5,20,5.18,8,21,6
37,Standard,13,9,10.78,8,36,1
38,Shared,8,7,7.68,11,24,2
39,Shared,6,10,1.69,2,8,2
40,Premium,4,19,14.41,7,56,6
41,Standard,15,5,6.66,13,26,6
42,XL,9,15,4.57,9,18,6
43,XL,9,18,1.34,5,5,4
44,Standard,8,10,9.63,7,36,5
45,Standard,4,18,13.36,13,42,2
46,Standard,6,10,1.18,10,5,1
47,Standard,16,4,11.69,8,44,5
48,Standard,20,8,11.08,8,41,4
49,Standard,3,6,4.12,10,12,1
50,Shared,9,19,6.22,5,23,5
51,Standard,15,10,10.10,6,38,4
52,XL,19,1,14.99,12,67,5
53,Standard,3,16,5.52,7,19,1
54,Standard,11,4,13.61,8,62,1
55,Standard,5,10,6.70,13,25,1
56,Standard,4,5,7.48,13,25,6
57,XL,9,14,5.89,14,22,1
58,Standard,11,18,10.92,8,41,3
59,Shared,13,5,4.86,2,15,2
60,Standard,9,11,9.10,8,37,3
61,Premium,8,10,17.96,13,54,1
62,Standard,12,14,2.89,10,10,6
63,Standard,9,15,4.32,2,20,2
64,Standard,10,7,13.99,9,42,4
65,Shared,2,20,6.91,6,30,2
66,Premium,2,10,14.51,2,57,1
67,Premium,9,6,5.74,9,27,3
68,Shared,13,18,3.80,14,14,3
69,Standard,18,11,12.90,5,53,4
70,Standard,15,12,9.72,13,41,5
71,Shared,7,15,4.45,5,20,1
72,Shared,20,1,1.21,7,5,2
73,Premium,9,5,17.79,10,59,2
74,Standard,2,5,10.64,10,32,1
75,Shared,10,15,6.08,2,18,2
76,Standard,9,20,9.23,10,39,4
77,Shared,7,14,4.50,5,16,4
78,Standard,3,14,2.26,13,8,2
79,Standard,2,10,8.81,7,26,5
80,Standard,14,18,13.67,11,55,6
81,Standard,1,6,12.31,11,51,1
82,Standard,19,20,2.10,2,7,1
83,Standard,10,19,7.33,12,25,2
84,Standard,14,6,2.68,10,11,5
85,Standard,14,19,6.26,12,23,1
86,Shared,8,14,5.63,10,17,3
87,XL,5,8,2.62,6,8,5
88,XL,20,11,13.13,12,45,4
89,Standard,2,12,11.81,3,48,1
90,Shared,11,20,4.70,4,22,4
91,Premium,6,12,7.65,6,27,3
92,Shared,20,5,3.53,11,15,3
93,Shared,17,3,6.10,8,23,1
94,Shared,4,17,7.12,13,33,1
95,XL,15,2,6.87,12,29,4
96,Shared,12,19,8.87,9,38,4
97,XL,18,4,11.02,10,50,3
98,Standard,12,1,6.39,8,24,2
99,Standard,16,5,10.86,9,40,1
100,Standard,2,8,6.46,14,26,1
101," Premium ",5,9,4.20,4,24,1
101," Premium ",5,9,4.20,4,24,1
102," n/a ",18,14,5.14,11,17,1
103,standard,12,20,-1.00,2,19,1
104,,7,16,6.75,5,22,2
105,Standard,8,6,not_a_number,6,44,6
106," STANDARD ",19,11,,9,14,6
,premium,10,3,12.12,3,43,2
