trip_id,trip_date,hour_of_day
1,2026-03-10,13
2,2026-03-13,5
3,2026-03-07,2
4,2026-03-11,11
5,2026-03-12,17
6,2026-03-08,4
7,2026-03-03,20
8,2026-03-06,3
9,2026-03-09,19
10,2026-03-04,18
11,2026-03-09,23
12,2026-03-04,0
13,2026-03-04,3
14,2026-03-04,6
15,2026-03-13,7
16,2026-03-11,22
17,2026-03-02,5
18,2026-03-05,6
19,2026-03-09,6
20,2026-03-11,17
21,2026-03-09,15
22,2026-03-02,22
23,2026-03-06,17
24,2026-03-13,7
25,2026-03-13,8
26,2026-03-13,10
27,2026-03-06,21
28,2026-03-10,18
29,2026-03-03,21
30,2026-03-14,2
31,2026-03-08,1
32,2026-03-08,5
33,2026-03-05,10
34,2026-03-13,18
35,2026-03-08,7
36,2026-03-01,2
37,2026-03-08,0
38,2026-03-08,21
39,2026-03-07,22
40,2026-03-06,2
41,2026-03-05,19
42,2026-03-07,10
43,2026-03-08,17
44,2026-03-06,13
45,2026-03-12,15
46,2026-03-01,17
47,2026-03-11,21
48,2026-03-05,18
49,2026-03-07,14
50,2026-03-04,20
51,2026-03-08,2
52,2026-03-01,5
53,2026-03-14,5
54,2026-03-11,17
55,2026-03-11,19
56,2026-03-05,13
57,2026-03-05,23
58,2026-03-14,6
59,2026-03-14,3
60,2026-03-14,21
61,2026-03-13,20
62,2026-03-13,5
63,2026-03-05,21
64,2026-03-10,11
65,2026-03-10,11
66,2026-03-02,9
67,2026-03-12,10
68,2026-03-09,3
69,2026-03-12,9
70,2026-03-07,18
71,2026-03-11,11
72,2026-03-13,18
73,2026-03-02,21
74,2026-03-08,14
75,2026-03-14,12
76,2026-03-10,16
77,2026-03-07,13
78,2026-03-09,1
79,2026-03-04,4
80,2026-03-09,0
81,2026-03-03,23
82,2026-03-11,2
83,2026-03-07,19
84,2026-03-09,21
85,2026-03-07,0
86,2026-03-12,10
87,2026-03-03,20
88,2026-03-02,15
89,2026-03-10,19
90,2026-03-02,10
91,2026-03-11,19
92,2026-03-05,20
93,2026-03-06,9
94,2026-03-11,10
95,2026-03-10,9
96,2026-03-09,16
97,2026-03-02,5
98,2026-03-07,2
99,2026-03-02,0
100,2026-03-02,15
